"trade_date","ts_code","name","industry","area","pe","float_share","total_share","total_assets","liquid_assets","fixed_assets","reserved","reserved_pershare","eps","bvps","pb","list_date","undp","per_undp","rev_yoy","profit_yoy","gpr","npr","holder_num"
"20240416","603361.SH","浙江国祥","专用机械","浙江","0","0","0","20.05","15.91","2.47","1.18","0","0","0","0","0","5.79","0","0","0","31.71","14.84","0"
"20240416","300506.SZ","名家汇","建筑工程","深圳","0","5.73","6.96","12.67","8.7","0.23","7.39","1.06","-0.16","0.59","4.3","20160324","-10.8","-1.55","-57.28","-101.21","3.76","-158.85","23000"
"20240416","300469.SZ","信息发展","软件服务","浙江","0","2.35","2.48","15.32","10.15","2.75","7.52","3.03","-0.29","2.8","3.68","20150611","-3.26","-1.31","5.98","7.18","29.49","-70.1","11896"
"20240416","300495.SZ","*ST美尚","环境保护","深圳","0","6.73","6.74","40.39","17.01","0.83","23.45","3.48","-0.56","0.46","1.31","20151222","-27.59","-4.09","-38.64","-206.39","1.45","-833.23","21258"
"20240416","300823.SZ","建科机械","专用机械","天津","31.08","0.55","0.94","12.67","7.92","2.29","3.93","4.2","0.43","10.22","1.75","20200319","4.05","4.33","8.68","25.87","41.52","13.03","22644"
"20240416","301446.SZ","福事特","机械基件","江西","19.88","0.2","0.8","13.31","9.41","2.7","6.3","7.87","1.01","13.41","1.61","20230725","3.48","4.35","0","0","39","21.53","12505"
"20240416","301049.SZ","超越科技","环境保护","安徽","0","0.26","0.94","12.76","3.8","6.24","5.43","5.76","-0.61","8.63","2.69","20210824","1.37","1.46","22.79","-855.04","-8.04","-31.04","8889"
"20240416","300865.SZ","大宏立","专用机械","四川","0","0.67","0.96","11.65","8.17","2.35","4.93","5.16","-0.35","9.05","1.23","20200824","2.27","2.37","9.4","-263.07","17.76","-6.1","8661"
"20240416","301161.SZ","唯万密封","工程机械","上海","41.9","0.53","1.2","10.14","8.48","1.31","6.4","5.33","0.26","7.72","1.89","20220914","1.53","1.28","-0.54","-27.76","37.56","11.75","8320"
"20240416","300721.SZ","怡达股份","化工原料","江苏","0","1.37","1.65","27.23","8.39","14.97","6.56","3.98","-0.36","7.44","1.21","20171115","3.47","2.11","15.78","-140.09","9.56","-4.63","16124"
"20240416","301079.SZ","邵阳液压","机械基件","湖南","173.98","0.58","1.1","8.67","4.47","2.18","2.06","1.87","0.06","4.37","2.37","20211019","1.4","1.27","-8.32","-86.88","25.57","2.39","9126"
"20240416","300521.SZ","爱司凯","专用机械","广东","0","1.44","1.44","5.85","3.09","1.38","1.43","0.99","-0.02","3.48","2.23","20160705","1.91","1.32","5.21","-194.9","43.89","-2.06","12004"
"20240416","300990.SZ","同飞股份","专用机械","河北","219.87","0.42","1.68","21.27","13.34","5.61","10.96","6.51","0.03","10.55","2.54","20210512","4.39","2.61","0.57","-81.88","26.33","1.87","13903"
"20240416","301228.SZ","实朴检测","电器仪表","上海","0","0.55","1.2","11.97","8.48","1.05","6.77","5.64","-0.57","7.05","1.34","20220128","0.4","0.33","18.62","-126.25","19.65","-27.51","14921"
"20240416","301170.SZ","锡南科技","汽车配件","江苏","21.74","0.25","1","18.09","13.58","3.7","11.81","11.81","0.85","16.03","1.28","20230627","2.97","2.97","0","0","20.51","9.52","10942"
"20240416","300477.SZ","合纵科技","电气设备","湖南","0","9.35","10.72","83.67","46.25","22.67","14.1","1.31","-0.17","2.07","1.16","20150610","-3.21","-0.3","-2.02","-268.26","12.21","-13.82","55770"
"20240416","688244.SH","永信至诚","软件服务","北京","0","0.33","0.69","11.29","9.82","0.66","8.48","12.23","-0.44","15.39","2.3","20221019","0.83","1.2","37.6","-38.57","56.92","-18.55","2798"
"20240416","300175.SZ","朗源股份","食品","山东","0","4.71","4.71","6.77","3.3","2.65","0.55","0.12","-0.04","1.14","3.12","20110215","-0.37","-0.08","-2.28","-7.22","17.68","-17.03","19901"
"20240416","301487.SZ","盟固利","化工原料","天津","165.95","0.58","4.6","39.65","26.74","9.27","10.08","2.19","0.15","4.32","6.71","20230809","4.89","1.06","0","0","6.5","3.26","44404"
"20240416","301234.SZ","五洲医疗","医疗保健","安徽","34.96","0.18","0.68","8.34","4.95","3.04","3.95","5.81","0.15","11.17","1.82","20220705","2.68","3.95","-23.28","-23.77","16.4","10.98","8141"
"20240416","300391.SZ","长药控股","中成药","湖北","0","3.5","3.5","37.43","19.67","8.43","7.88","2.25","-0.33","1.96","1.74","20140801","-4.72","-1.35","-28.17","-522.43","15.93","-13.46","17335"
"20240416","300292.SZ","吴通控股","互联网","江苏","50.18","11.16","13.42","24.81","20.86","1.95","9.94","0.74","0.04","0.98","2.94","20120229","-10.5","-0.78","-12.28","177.99","11.59","2.29","77863"
"20240416","301163.SZ","宏德股份","机械基件","江苏","33.81","0.27","0.82","13.46","7.58","2.73","6.93","8.49","0.45","13.48","1.49","20220419","2.95","3.62","-6.67","-1.24","16.59","6.59","8856"
"20240416","301329.SZ","信音电子","元器件","江苏","40.54","0.43","1.7","17.75","15.54","1.3","8.24","4.84","0.5","9.16","1.89","20230717","4.99","2.93","-11.42","-24.77","28.39","9.37","17090"
"20240416","301588.SZ","美新科技","家居用品","广东","35.11","0.23","1.19","11.72","6.41","3.74","1.93","1.63","0.64","7.47","3","20240313","2.28","1.92","6.08","-10.36","33.24","9.6","28910"
"20240416","300931.SZ","通用电梯","运输设备","江苏","187.41","1.96","2.4","12.02","8.76","2.43","2.53","1.06","0.02","2.91","1.91","20210121","1.64","0.68","2.19","89.78","27.66","1.52","15112"
"20240416","300928.SZ","华安鑫创","汽车配件","北京","0","0.5","0.8","13.73","9.94","0.57","9.6","12","-0.11","15.92","1.65","20210106","2.06","2.58","28.1","-122.22","7.27","-1.16","9946"
"20240416","301025.SZ","读客文化","出版业","上海","179.39","0.99","4","7.38","6.85","0.06","0.19","0.05","0.04","1.57","6.53","20210719","1.87","0.47","-12.12","-64.85","35.27","5.3","15559"
"20240416","300920.SZ","润阳科技","塑料","浙江","43.31","1","1","13.51","7.38","3.38","6.77","6.77","0.19","11.57","0.97","20201225","3.41","3.41","-21.5","-6.13","21.35","7.65","7441"
"20240416","688419.SH","耐科装备","半导体","安徽","33.27","0.21","0.82","11.45","10.47","0.61","6.9","8.42","0.64","11.84","1.8","20221107","1.71","2.08","-26.39","-8.36","41","26.48","6050"
"20240416","300103.SZ","达刚控股","环境保护","陕西","0","2.45","3.18","16.97","9.08","2.69","2.51","0.79","-0.11","2.22","1.53","20100812","0.66","0.21","-37.53","88.22","24.66","-27.35","13492"
"20240416","301568.SZ","思泰克","专用机械","福建","32.29","0.24","1.03","10.93","9.89","0.96","5.18","5.01","1.25","9.71","3.2","20231128","3.33","3.23","-5.04","-14.55","51.06","27.02","22208"
"20240416","301279.SZ","金道科技","机械基件","浙江","29.2","0.29","1","16.22","7.53","4.69","8.83","8.83","0.39","13.08","1.17","20220413","2.92","2.92","2.84","-32.58","16.26","7.84","8520"
"20240416","301024.SZ","霍普股份","建筑工程","上海","0","0.18","0.64","8.05","5.75","0.17","5.26","8.28","-0.38","9.55","1.83","20210728","-0.04","-0.07","38.35","71.42","31.88","-18.41","7531"
"20240416","300648.SZ","星云股份","电气设备","福建","0","0.98","1.48","24.75","14.33","6.51","6.19","4.19","-0.55","6.64","2.58","20170425","1.82","1.23","-22.51","-488.11","28.35","-11.96","19462"
"20240416","300742.SZ","*ST越博","汽车配件","江苏","0","1.15","1.41","12.31","6.45","1.8","8.2","5.8","-0.91","-1.54","-1.87","20180508","-12","-8.49","23.36","-10.97","3.74","-77.29","9569"
"20240416","688090.SH","瑞松科技","专用机械","广东","323.02","0.67","0.67","15.9","11.49","3.1","6.64","9.86","0.02","13.4","1.52","20200217","1.62","2.41","-34.95","-89.76","21.01","1.04","6838"
"20240416","300093.SZ","金刚光伏","电气设备","甘肃","0","2.15","2.16","33.16","7.28","8.71","4.08","1.89","-0.8","-0.61","-20.74","20100708","-8","-3.7","36.48","-16.29","-4.67","-48.74","21451"
"20240416","301057.SZ","汇隆新材","化纤","浙江","22.71","0.52","1.17","8.9","4.92","2.01","3.49","2.97","0.35","6.46","1.6","20210909","2.64","2.24","36.53","20.59","17.17","7.03","6579"
