group,ts_code,name,desc
00.指数,000001.SH,上证指数,
00.指数,399001.SZ,深证成指,
00.指数,399006.SZ,创业板指,
00.指数,000688.SH,科创50,
00.指数,899050.BJ,北证50,* 待增加全行业指数
,,,
01观,002085, 万丰奥威,
01观,002714, 牧原股份,
01观,159502, 标普生物科技ETF,
01观,159509, 纳指科技ETF,
01观,159513, 纳斯达克100指数ETF,
01观,164824, 印度基金LOF,
01观,300284, 苏交科,
01观,830779, 武汉蓝电,
01观,872808, 曙光数创,
01观,513520, 日经ETF,
01观,518880, 黄金ETF,
01观,600863, 内蒙华电,
01观,600900, 长江电力,
01观,600988, 赤峰黄金,
01观,601088, 中国神华,
01观,601838, 成都银行,
01观,603259, 药明康德,
01观,603993, 洛阳钼业,
01观,000981, 中芯国际,
01观,001088, 中国神华,
01观,002007, 碧桂园,
01观,002202, 万科企业,
01观,002359, 药明康德,
,,,
02.etf,162411, 华宝油气LOF,
02.etf,518880, 黄金ETF,* 黄金数据：https://china.gold.org/goldhub/data#all
02.etf,159980, 有色ETF,
02.etf,159981, 能源化工ETF,
02.etf,159985, 豆粕ETF,
02.etf,164824, 印度基金LOF,
02.etf,513730, 东南亚科技ETF,
02.etf,513520, 日经ETF,
02.etf,159513, 纳斯达克100指数ETF,
02.etf,159501, 纳斯达克指数ETF,
02.etf,159941, 纳指ETF,
02.etf,159509, 纳指科技ETF,
02.etf,162415, 美国消费LOF,
02.etf,513500, 标普500ETF,
02.etf,513290, 纳指生物科技ETF,
02.etf,159502, 标普生物科技ETF,
02.etf,XBI, 生物技术ETF-SPDR S&P,
02.etf,513010, 恒生科技30ETF,
02.etf,513120, 港股创新药ETF,
02.etf,513920, 港股通央企红利ETF,
02.etf,513310, 中韩半导体ETF,
02.etf,513030, 德国ETF,
02.etf,513080, 法国CAC40ETF,
,,,
03.空,513050, 中概互联网ETF,
03.空,513180, 恒生科技指数ETF,
03.空,510050, 上证50ETF,
03.空,510300, 沪深300ETF,
03.空,159915, 创业板ETF,
03.空,588000, 科创50ETF,
03.空,588030, 科创100指数ETF,
03.空,159922, 中证500ETF,
03.空,510500, 中证500ETF,
03.空,512100, 中证1000ETF,
03.空,563300, 中证2000ETF,
03.空,159869, 游戏ETF,
03.空,515790, 光伏ETF,
03.空,512880, 证券ETF,
03.空,512010, 医药ETF,
03.空,516970, 基建50ETF,
03.空,600036, 招商银行,
,,,
04.AI,300684, 中石科技,
04.AI,300308, 中际旭创,
04.AI,300394, 天孚通信,
04.AI,300502, 新易盛,
04.AI,603083, 剑桥科技,
04.AI,300757, 罗博特科,
04.AI,000063, 中兴通讯,
04.AI,000628, 高新发展,
04.AI,002929, 润建股份,
04.AI,601138, 工业富联,
04.AI,603019, 中科曙光,
04.AI,000977, 浪潮信息,
04.AI,002837, 英维克,
04.AI,872808, 曙光数创,
04.AI,300499, 高澜股份,
04.AI,300870, 欧陆通,
,,,
05.软件,300418, 昆仑万维,
05.软件,000032, 深桑达Ａ,
05.软件,300212, 易华录,
05.软件,516770, 游戏动漫ETF,
05.软件,300624, 万兴科技,
05.软件,600571, 信雅达,
05.软件,300364, 中文在线,
05.软件,002230, 科大讯飞,
05.软件,301236, 软通动力,
05.软件,301382, 蜂助手,
05.软件,603533, 掌阅科技,
05.软件,603000, 人民网,
,,,
06.医疗,300760, 迈瑞医疗,
06.医疗,603259, 药明康德,
06.医疗,603108, 润达医疗,
06.医疗,300181, 佐力药业,
06.医疗,300347, 泰格医药,
06.医疗,159502, 标普生物科技ETF,
06.医疗,513120, 港股创新药ETF,
06.医疗,159647, 中药ETF,
06.医疗,002359, 药明康德,
06.医疗,301393, 昊帆生物,
06.医疗,688166, 博瑞医药,
06.医疗,000158, 常山北明,
06.医疗,301230, 泓博医药,
06.医疗,688222, 成都先导,
06.医疗,600276, 恒瑞医药,
06.医疗,688235, 百济神州-U,
06.医疗,300255, 常山药业,
06.医疗,300199, 翰宇药业,
06.医疗,300896, 爱美客,
06.医疗,002762, 金发拉比,
06.医疗,301293, 三博脑科,
06.医疗,000853, 微创医疗,
,,,
07.机器人,562500, 机器人ETF,
07.机器人,430418, 苏轴股份,
07.机器人,002472, 双环传动,
07.机器人,002896, 中大力德,
07.机器人,688017, 绿的谐波,
07.机器人,601689, 拓普集团,
